source,organization,title,description
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,CONTINGENCY PLAN FOR RABI 1. Sowing window information,"For water use efficiency, utilizing antitranspirants, reflectants, and mulches is essential. Regular field monitoring for disease and insect attacks, using pheromone traps and attractants, and promoting protected vegetable cultivation under naturally ventilated polyhouses and net houses, are advised. Zero tillage for proper seed placement, hand weeding followed by hoeing, and applying RDF, INM, and IPM practices are beneficial. For Toria, ensure seed treatment, proper seed rates, thinning, and weeding at 30-35 DAS, followed by irrigation. For Linseed, follow seed treatment, irrigate only at critical stages, and manage disease and pests using pre and post-emergence weedicide applications, with one hand weeding followed by hoeing at 20 and 45 DAS."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_South-chhotanagpur_division,ICAR,"A. Monsoon/Weather Situation:
 Normal onset followed by 15-20 days dry
 spell after sowing (Early Season Drought
 -Normal onset)","Organization: ICAR - Major Farming Situation/Land Situation: UP LAND Sandy red lateritic soils, Agricultural Adaptation Strategies, Crop Replacement and Soil Conservation, Upland rice, Maize, Vegetables, Cowpea, Pigeonpea + Groundnut, Maize + Pigeonpea, Bhindi + Maize. Monsoon/Weather Situation: Normal onset followed by 15-20 days dry spell after sowing (Early Season Drought -Normal onset)."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_South-chhotanagpur_division,ICAR,"A. Monsoon/Weather Situation:
 Normal onset followed by 15-20 days dry
 spell after sowing (Early Season Drought
 -Normal onset)","Normal Crop/cropping system: Upland rice, Maize, Vegetables, Cowpea, Pigeonpea + Groundnut, Maize + Pigeonpea, Bhindi + Maize. Suggested Contingency measures: Change management, Cultivate drought-tolerant promising non-paddy crops like pigeonpea, blackgram, greengram, rice bean, finger millet, guar, sesame, soybean, sorghum, pearl millet, sweet potato, castor, and vegetables like radish, tomato, brinjal, creeper bean, chili, lady's finger wherever possible in place of upland rice."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_South-chhotanagpur_division,ICAR,"A. Monsoon/Weather Situation:
 Normal onset followed by 15-20 days dry
 spell after sowing (Early Season Drought
 -Normal onset)","Maximum use of organic manures for early seedling vigour along with RDF (N:P:K). Recommend to resow with subsequent rains for better plant stand. When damage is less than 30 per cent, go for gap filling in all upland crops. When damage is more than 50 per cent, go for resowing in all upland crops. Remove excess plants where overcrowded to reduce crop stand and conserve soil moisture. Water spraying during evening and early morning. Soil nutrient & moisture conservation measures. Avoid top dressing of Urea during dry spell and wait until downpour. Go for in-situ moisture conservation. One hand weeding followed by hoeing and simultaneous earthing up after 20 DAS is highly recommended in all upland crops."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_South-chhotanagpur_division,ICAR,"B. Monsoon/Weather Situation:
 Mid season drought (long dry spell,
 consecutive 2 weeks rainless (<2.5 mm) period","Organization: ICAR. Labels: B5. At vegetative phase, B5.1. Major Farming Situation/Land Situation: LOW LAND Sandy clay loam soils, Crop Management and Water Conservation, Rice. Title: B. Monsoon/Weather Situation: Mid season drought (long dry spell, consecutive 2 weeks rainless (<2.5 mm) period. Description: Normal Crop/cropping system: Rice. Suggested Contingency measures: a) Crop management: Foliar spray of 2 per cent KCL followed by 1-2 per cent urea. Weeding should be done. Drought makes the crop vulnerable to sheath rot and sheath blight diseases. Maintenance of field sanitation followed by twice spraying at 10 days interval with validamycin 2-3 ml/lt water or Tricyclazole @ 6g/10 lt or carbendazim @ 2 g/lt water are advised. Life saving irrigation. Soil nutrient & moisture conservation measures."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_South-chhotanagpur_division,ICAR,"B. Monsoon/Weather Situation:
 Mid season drought (long dry spell,
 consecutive 2 weeks rainless (<2.5 mm) period","Title: Mid season drought. Description: Foliar spray of Urea @ 2 per cent. Foliar spray of 2% KNO3 or 2% urea solution or 1% water soluble fertilizers like 19-19-19, 20-20-20, 21-21-21 to supplement nutrition during dry spells. Life saving irrigation through dovas, wells, ponds, check dams and bora bandh. Remarks on Implementation: Awareness for Construction of Ponds, check dam through water shed management & MNREGA scheme through SHG or on subsidized basis through State Govt.s chemes."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,A. Monsoon/Weather Situation: Normal onset followed by 15-20 days dry spell after sowing (Early Season Drought-Normal onset),"Organization: ICAR
Labels:
Sub Title: A3. Major Farming Situation/Land Situation: LOW LAND Sandy clay loam soils
Category: Agriculture
Sub category: Crop Management and Water Conservation
Information About : Rice
Title: A. Monsoon/Weather Situation: Normal onset followed by 15-20 days dry spell after sowing (Early Season Drought-Normal onset)
Description:
> Normal Crop/cropping system Rice
> Suggested Contingency measures
> Change management
> If possible, go for staggered nursery raising in rice crop
> If possible, raise community nursery of rice at a reliable water source to save time for further delay.
> In case, if rice population is less than 40-50 percent, gap filled by retransplanting the rice crop and for more than 50 per cent mortality use fresh seeding for fresh transplanting.
> Follow gap filling by removing seedlings from profuse tillers to have a uniform distribution of same aged plants
> Prefer mid early rice variety instead of late variety
> Use pre and post emergence weedicide
> Over aged seedling should be top cut and treat the seedlings root by Dursban/Chlorpyriphos @ 5 ml per It water and transplant immediately after treated seedlings with 2 per cent Urea solution
> In case of transplanting over aged seedling (35-45 days), increase number of seedling per hill (5-6 seedling/hill)
> In fallow land go for cultivation of mid early duration rice variety through DSR @ 70-80 Kg/ha
> Soil nutrient & moisture conservation measures
> Split application of Urea fertilizer
> Foliar spray of 2% KNO3 or 2% urea solution or 1% water soluble fertilizers like 19-19-19, 20-20-20, 21-21- 21 to supplement nutrition during dry spells
Source: JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison"
JHARKHAND_2019_Dist_Agri_Contingency_Plans_South-chhotanagpur_division,ICAR,"A. Monsoon/Weather Situation:
 Normal onset followed by 15-20 days dry
 spell after sowing (Early Season Drought-
 Normal onset)","Organization: ICAR
Labels: A3. Major Farming Situation/Land Situation: LOW LAND Sandy clay loam soils, Agricultural Contingency Planning, Crop Management and Soil Conservation, Rice
Title: A. Monsoon/Weather Situation: Normal onset followed by 15-20 days dry spell after sowing (Early Season Drought- Normal onset)
Description:
> Normal Crop/cropping system: Rice
> Suggested Contingency measures
> Change management
> If possible, go for staggered nursery raising in rice crop
> If possible, raise community nursery of rice at a reliable water source to save time for further delay.
> In case, if rice population is less than 40-50 percent, gap filled by retransplanting the rice crop and for more than 50 per cent mortality use fresh seeding for fresh transplanting."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_South-chhotanagpur_division,ICAR,"A. Monsoon/Weather Situation:
 Normal onset followed by 15-20 days dry
 spell after sowing (Early Season Drought-
 Normal onset)","> Follow gap filling by removing seedlings from profuse tillers to have a uniform distribution of same aged plants
> Prefer mid early rice variety instead of late variety
> Use pre and post emergence weedicide
> Over aged seedling should be top cut and treat the seedlings root by Dursban/Chlorpyriphos @ 5 ml per It water and transplant immediately after treated seedlings with 2 per cent Urea solution
> In case of transplanting over aged seedling (35-45 days), increase number of seedling per hill (5-6 seedling/hill)
> In fallow land go for cultivation of mid early duration rice variety through DSR @ 70-80 Kg/ha
> Soil nutrient & moisture conservation measures
> Split application of Urea fertilizer
> Foliar spray of 2% KNO3 or 2% urea solution or 1% water soluble fertilizers like 19-19-19, 20-20-20, 21-21-21 to supplement nutrition during dry spells."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,C. Monsoon/Weather Situation: 6 Weeks Delay (Onset: 6th Week of July) - Early Season Drought,"The organization ICAR details the contingency measures for monsoon/weather situations in upland hilly tracts with a focus on agriculture, crop diversification, and soil management. In the event of a 6-week delayed monsoon leading to early season drought, farmers are advised to adapt their normal cropping system. Recommended crop options include cowpea, pigeonpea, maize, and pearl millet. Specific intercropping combinations are suggested, such as sole pigeonpea, pigeonpea with blackgram (1:2), pigeonpea with sesame (1:2), pigeonpea with turmeric (1:2), pigeonpea with horsegram (1:2), pigeonpea with niger (1:2), and maize with cowpea (1:2) or kheksa (1:2)."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,C. Monsoon/Weather Situation: 6 Weeks Delay (Onset: 6th Week of July) - Early Season Drought,"Recommended varieties for each crop are also provided: Pigeonpea (Birsa Arhar: 200-220 days, Malvia 13: 240-250 days, Narendra Arhar 1 and 2: 240-250 days, Asha: 200-220 days, ICPH 2671: 200 days), Blackgram (Birsa urd 1: 75-80 days, PU 19/31/35: 70-75 days, WBU 109: 70-75 days, Uttara: 75-80 days small grain), Sesame (RT 346: 90 days, Kanke safed: 95-100 days, Krishna: 95-100 days), Horsegram (Birsa kulthi 1: 90-95 days), Niger (Birsa niger 1, 2, and 3: 95-105 days, Puja 1: 90 days, VLG 19), Maize (Birsa makka: 75-80 days, Shaktiman 1: 105-110 days, LG 32-81 Yuvral gold: 80-85 days, Malvia makka 2: 90 days, Kanchan K 25: 100-110 days, Vivek hybrid 9: 80 days), Cowpea (Birsa sweta: 80-90 days, Swarn sweta: 80-90 days, Swarn Harit: 80-90 days), Turmeric (Rajendra Sonia)."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,C. Monsoon/Weather Situation: 6 Weeks Delay (Onset: 6th Week of July) - Early Season Drought,"Agronomic measures to support crop resilience in a delayed monsoon include the application of lime or dolomite to the soil, foliar spraying of sulfur and boron, sowing crops across the slope, using ridge and furrow methods, and applying pre and post-emergence weedicides."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,"B. Monsoon/Weather Situation:
 4 Weeks Delay (Onset: 2nd Week of
 July ) - Early Season Drought","In the case of a monsoon delay and early season drought (onset in the 2nd week of July), contingency measures for rice and other crops in Midland sandy loam soils are suggested. For rice, direct seeded rice (DSR) with medium duration varieties such as Shabhagi Dhan, IR 64 Drt 1, Abhishekh, and BVD 111 are recommended. Additionally, transplanting hybrid rice varieties such as Arize 6444 (Gold), KRH 2, PHB 71, PAC 801, 807, and MTU 1001 should be considered. For fodder crops, maize varieties such as African tall, JS-1006, and Vijaya composite are suggested, along with cowpea varieties EC-4216, UPC-287, UPC-5286, GFC-1, GFC-2, and GFC-4."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,"B. Monsoon/Weather Situation:
 4 Weeks Delay (Onset: 2nd Week of
 July ) - Early Season Drought","Agronomic measures include summer deep ploughing with Mould Board or disc, Dobha construction for in-situ rainwater conservation, and line sowing in upland rice areas to control weeds and facilitate intercultural operations. Implementing zero tillage practices, proper spacing, and correct seed rates for sole and intercropped systems is crucial. Nutrient management includes applying RDF for all upland crops, with adjustments for intercropping and additional sulfur application at 20 kg/ha for pulses and oilseeds. Weed control includes using appropriate pre-emergence and post-emergence herbicides. Soil amendments such as lime, dolomite, and compost should be applied before sowing."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,"B. Monsoon/Weather Situation:
 4 Weeks Delay (Onset: 2nd Week of
 July ) - Early Season Drought","For pest and disease management in maize, pigeonpea, blackgram, greengram, soybean, and vegetables, specific insecticides and fungicides are recommended based on pest populations and crop stages. In rice, dealing with pests like Gundhi bug, leaf folder, and BPH involves using Quinolphos 25 EC dust, while managing diseases such as false smut and blast requires fungicides like Propiconazole and Tricyclazole. Other recommendations include applying well-rotted FYM, following ridge and furrow methods for moisture conservation, intercropping for drought resilience, and cultivating vegetables such as brinjal, tomato, cucurbits, and lady's finger. Gap filling and resowing may be necessary if crop mortality exceeds 50%, with short-duration, high-yielding, low-water requiring crops serving as replacements."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_South-chhotanagpur_division,ICAR,"C. Monsoon/Weather Situation:
 6 Weeks Delay (Onset: 6th Week of July) -
 Early Season Drought","Agricultural Adaptation Strategies for Upland Sandy Lateritic Soils under ICAR's guidance. In the context of a 6-week delayed monsoon leading to early-season drought, typical crops are Sweet potato, French bean, Bhindi, Tomato, and Brinjal. Contingency measures include discarding rice and changing the cropping system to include sole crops such as Niger, Horsegram, Blackgram, Greengram, Soybean, Gundli, and Finger Millet (early duration). Suggested varieties for various crops include Birsa niger 1, 2, and 3, PUJA 1 for Niger, and Birsa kulthi 1 for Horsegram."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_South-chhotanagpur_division,ICAR,"C. Monsoon/Weather Situation:
 6 Weeks Delay (Onset: 6th Week of July) -
 Early Season Drought","Additional contingency crops and horticulture staples are Sweet Potato, Rainy Potato, Blue panic grass, Rompha grass, Lobia, Maize, Sorghum, Deenanath grass, sadabahar grass, Stylo Hemata, Chara badam, and Anjan grass. For vegetables like Brinjal, Tomato, Lady's Finger, Cowpea (Lobia-Bodi), and Chilli, varieties such as Pusa purple long, Pusa purple round, Mukta keshi, Banaras giant, Swarn pratibha, Swarn mani, and hybrid-Swarn shakti are recommended. Fodder crops include Blue panic grass, Rompha grass, and Leafy vegetables such as Amaranthus leaf, Coriander leaf, and Radish."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_South-chhotanagpur_division,ICAR,"C. Monsoon/Weather Situation:
 6 Weeks Delay (Onset: 6th Week of July) -
 Early Season Drought","Agronomic measures include top dressing of urea and DAP after rain, lime or dolomite with compost application before sowing, and integrating leguminous or pulse crops to improve soil fertility. Crop replacements of short-duration high-yielding varieties that require less water such as Greengram, Blackgram, Soybean, and Niger are recommended. Mulching after cultural operations can control weeds in vegetables. Key pest management includes the use of Monocrotophos for maize stem borer, Methyl demoton for pigeonpea leaf folder, and Indofil M 45 for soybean Cercospora leaf spot. Foliar applications and integrated pest management should be followed for the effective control of pests and diseases."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,"A Monsoon/Weather Situation:
 2 Weeks Delay (Onset: 4th Week of
 June) - Early Season Drought","Given a context of lowland sandy clay loam soil and focusing on agriculture, crop diversification, and pest management for rice during a monsoon/weather situation with a 2-week delay and early season drought, several measures are suggested. For a normal crop/cropping system of rice, a change in crop/cropping system is suggested on plain land. Long duration rice varieties like Rajshree, BPT 5240, MTU-7029, Akshayadhan, 27P52, and Arize 6644 (Gold) are specifically recommended. For alluvial land, medium duration rice varieties like DSR (Improved Rice variety) and varieties Shabhagi Dhan, IR 64-Drt 1, IR 64 Sukha, and Abhishek (120 days) are suggested."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,"A Monsoon/Weather Situation:
 2 Weeks Delay (Onset: 4th Week of
 June) - Early Season Drought","Agronomic measures include staggered nursery raising by MAT/ DAPOG method, following community-based nursery raising, recommended dose of fertilizer (RDF), integrated nutrient management practice (INPM), using post-emergence weedicide, and early to mid-early duration rice varieties. For nursery management, a mixture of 1 kg nitrogen, 1 kg phosphorus pentoxide (P2O5), and 1 kg potassium oxide (K2O) for 100 m2 is suggested. A seed rate of 80-100 kg/ha is recommended for improved rice varieties and 15 kg/ha for hybrid rice, with top dressing 10-15 days after sowing. In the nursery, Carbofuron 3G at 300 gm/100 m2 is recommended 10 days before uprooting seedlings."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,"A Monsoon/Weather Situation:
 2 Weeks Delay (Onset: 4th Week of
 June) - Early Season Drought","Spacing for DSR is 20 cm row for PDS and 20-25 x 15-25 cm for transplanting. Fertilizer dosing for rice includes 80:40:20 kg/ha N:P:K (with basal 1/2 N, full P, and 2/3 K, and the rest before flowering). For hybrids, the recommendation is 120-150 kg N, 60 kg P, and 40 kg K/ha. The specific doses are spread across the growing period with detailed timing. DSR should use a plastic drum seeder rice tool and post-weedicide usage. For pest and disease management: for stem borer, use Carbofuron 3G at 12 kg/acre; for gall midge, use Monocrotophos at 1 ml/liter water; for Gundhi bug, leaf folder, and BPH, use Quinolphos 25 EC (Ekalux) dust at 25 kg/ha. For false smut, two sprays of Propiconazole 0.1% or Nativo 0.04% are suggested. For blast, use Beam or Tricyclazole at 0.6 gm/liter water."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,"B. Monsoon/Weather Situation: Mid season drought (long dry spell, consecutive 2 weeks rainless (<2.5 mm) period","At the vegetative phase for crops in UP LAND Sandy red lateritic soils, the crop management and pest control measures include managing Upland rice, Maize, Vegetables, Cowpea, Groundnut+ Pigeonpea, Maize + Pigeonpea, Bhindi + Maize. During mid-season drought with a long dry spell (consecutive 2 weeks rainless period <2.5 mm), contingency measures are important. Suggested measures are: use of organic mulches to conserve soil moisture; avoid top dressing of fertilizers until sufficient soil moisture is available; use antitranspirants like Kaolin @ 3-5 kg/100 litres. For pulses, weekly foliar spray of KCI @ 0.5-1% and 100 ppm Boric acid followed by foliar spraying of 2% urea during the evening. Manual weeding followed by hoeing is recommended for controlling germinating weeds."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,"B. Monsoon/Weather Situation: Mid season drought (long dry spell, consecutive 2 weeks rainless (<2.5 mm) period","For pest control during mid-season drought, spray or drench Chlorpyriphos @ 2ml/litre water to manage termite and leaf folder. For leaf folder control in Maize and Pigeonpea, apply Carbofuran 3G @ 12 kg/acre or Phorate 10G @ 4 kg/acre or Quinolphos @ 1 ml/litre water. Spray CaCl2 @ 20/40/60 ppm in pulses and 2% KCI + 100 ppm Boron in vegetables. In tomato, foliar spray of CaCl2 @ 20/40/60 ppm is suggested. Gap filling with pigeonpea to maintain adequate plant stand is recommended. For termite control in pigeonpea, maize, and other cereals, soil drenching with Chlorpyriphos 20 EC @ 2 ml/litre water or adding Chlorpyriphos 1.5% dust @ 8-10 kg/ha is effective. Control Gallmidge in maize before final land preparation. For YMV vector control in green and blackgram, cowpea, and lady's finger, spray Dimethoate @ 1 ml/litre or Imidacloprid 4 ml/10 litre water twice at 10-day intervals."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,"B. Monsoon/Weather Situation: Mid season drought (long dry spell, consecutive 2 weeks rainless (<2.5 mm) period","In groundnut, to reduce termite and white grub infestation, follow the methods suggested for rice. For leaf miner management in groundnut, spray Monocrotophos 36 SL or Triazophos 40 EC @ 1 ml/litre water twice at fortnightly intervals. Expected mite incidence in vegetables under dry conditions can be managed by spraying Dicofol @ 2 ml/litre water. Early and mid-season drought conditions favour diseases like brown spot of rice and bacterial wilt of brinjal and other vegetables. For soil nutrient and moisture conservation, foliar spray DAP @ 2% along with Boric acid @ 0.3%, and Urea @ 1%. Provide micro-irrigation with drip systems for wide-spaced crops such as chilies and vegetables, and sprinklers for groundnut, maize, and vegetables wherever ground/surface water is available. Apply life-saving and protective irrigation from constructed dovas."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_South-chhotanagpur_division,ICAR,"B. Monsoon/Weather Situation: Mid season drought (long dry spell, consecutive 2 weeks rainless (<2.5 mm) period",Suggested Contingency measures: a) Crop management > Foliar spray of 2 per cent KCL followed by 1-2 per cent Urea. > Weeding should be done. > Drought makes the crop vulnerable to sheath rot and sheath blight diseases. Maintenance of field sanitation followed by twice spraying at 10 days interval with validamycin 2-3 ml/lt water or Tricyclazole @ 6g/10 lt or carbendazim @ 2 g/lt water are advised. > Life saving irrigation.
JHARKHAND_2019_Dist_Agri_Contingency_Plans_South-chhotanagpur_division,ICAR,"B. Monsoon/Weather Situation: Mid season drought (long dry spell, consecutive 2 weeks rainless (<2.5 mm) period","Soil nutrient & moisture conservation measures: > Foliar spray of Urea @ 2 per cent. > Foliar spray of 2% KNO3 or 2% urea solution or 1% water soluble fertilizers like 19-19-19, 20-20-20, 21-21-21 to supplement nutrition during dry spells. > Life saving irrigation through dovas, wells, ponds, check dams and bora bandh."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,CONTINGENCY PLAN FOR RABI 1. Sowing window information,"> Cropping system- Maize-Toria, Maize-Linseed
> Crop name - Toria, Linseed
> Sowing Window- Toria- 3rd week of September - 4th week of September, Linseed- 2nd week of October- 4th week of October
> Variety- Toria- PT 203, Panchali; Linseed- Sharda, Priyam, Divya
> Agronomic management practices
> Rain water harvesting and recycling.
> Deeping of water storing structure(Shallow and deep) in April and May month
> Deep summer ploughing in April and May month.
> Strengthing and raising of field bunds in April and May months
> Sowing in defined window for better establishment
> Seed placement at proper depth for better germination and optimum seed rate with right crop geometry for better crop stand (Plant population)"
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,CONTINGENCY PLAN FOR RABI 1. Sowing window information,"> Application of Lime or Dolomite (3-5 q/ha) in soil
> Soil application of Sulphur (20 kg/ha) and boron (1kg/ha) in oilseed, pulses and vegetables.
> Foliar spray of Urea (2%) at flower initiation and pod formation stage in oilseed and pulses
> Follow seed priming (warm water for 4-6 hrs.) before sowing
> Follow seed treatment with fungicide-insecticide-rhizobium
> Follow deep summer ploughing
> Irrigate only at critical stages
> Pre and post emergence weedicide application
> Follow hoeing after hand weeding
> Follow RDF, INM and IPM
> For Water use efficiency use antitranspirant, reflectant and mulches
> Regular monitoring of field for disease and insect attack
> Use pheromone trap and attractant
> Promote protected vegetable cultivation under naturally ventilated polyhouse and net house
> Zero Tillage for seed placement at proper depth for better germination"
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,CONTINGENCY PLAN FOR RABI 1. Sowing window information,"> One hand weeding followed by one hoeing for management of germinating weeds
> For Water use efficiency use antitranspirant, reflectant and mulches
> Toria - Seed treatment and proper seed rate for optimum crop stand. Thinning, weeding at 30-35 DAS followed by irrigation. Follow RDF, INM and IPM. Irrigate at three critical stages 30-35 DAS, before flowering and capsule/pod formation. Apply second dose of Urea before flowering. Management for painted bug, aphid and Powdery mildew
> Linseed - Follow seed treatment, Irrigate only at critical stages, Seed placement at proper depth for better germination and optimum seed rate with right crop geometry for better establishment (Plant population). Soil as well as seed treatment for the management of disease and termite attack. Pre and post emergence weedicide application. One hand weeding followed by one hoeing for management of weeds between 20 and 45 DAS. Irrigate at critical stages (before flowering and at pod formation). For dual purpose (seed and flax) increase N fertilizer dose by 25 percent. Follow RDF, INM and IPM. Follow deep summer ploughing. Proper water management. Pre emergence weedicide application. Precautions for pod borer, bud fly insect and powdery mildew disease management."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,"B. Monsoon/Weather Situation:
 Mid season drought (long dry spell,
 consecutive 2 weeks rainless
 (<2.5 mm) period","Organization: ICAR
Labels: B1 At vegetative phase, B1.1. Major Farming Situation/Land Situation: UP LAND Sandy red lateritic soils, Crop Management and Climate Adaptation, Upland rice, Maize, Vegetables, Cowpea, Groundnut+ Pigeonpea, Maize + Pigeonpea, Bhindi + Maize
Title: B. Monsoon/Weather Situation: Mid season drought (long dry spell, consecutive 2 weeks rainless (<2.5 mm) period
Description: > Normal Crop/cropping system Upland rice, Maize, Vegetables, Cowpea, Groundnut+ Pigeonpea, Maize + Pigeonpea, Bhindi + Maize Suggested Contingency measures > Change management > Use organic mulches such as tree leaves, straw and other available crop residue to conserve soil moisture > Avoid top dressing of fertilizers till sufficient moisture is available in soil > Use reflectant or antitranspirant like Kaolin @ 3-5 kg/100 It or > In pulses, at weekly interval foliar spray of KCI @ 0.5- 1 % + 100 ppm Boric acid followed by foliar spraying of 2 percent urea during evening time > Spray wax emulser > Manual weeding followed by hoeing for germinating weeds."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,"B. Monsoon/Weather Situation:
 Mid season drought (long dry spell,
 consecutive 2 weeks rainless
 (<2.5 mm) period","> For termite and leaf folder control spraying or drenching of Chlorpyriphos @ 2ml/lt water and for all pulses and cereals. > For leaf folder control in Maize (Stem borer) and Pigeonpea apply Carbofuran 3 G @ 12 Kg/acre or Phorate 10 G @ 4 kg/acre or Quinolphos @ 1 ml/lt water in Maize for leaf folder > Also, spray @ 20/40/60 ppm CaCl2 in pulses > Vegetables- Foliar spray of water with 2 per cent KCI + 100 ppm Boron > Tomato- Foliar spray of CaCl2 @ 20/40/60 ppm > Gap filling may be done with pigeonpea to maintain adequate plant stand. > For termites in pigeonpea, maize and other standing cereal crops which can be controlled by soil drenching with chlorpyriphos 20 EC @ 2 ml/lt water or by adding Chlorpyriphos 1.5% dust @ 8- 10 kg/ha or Carbofuran 3G @ 12 kg or Phorate 10 G @ 4 kg.acre before final land preparation and also control Gallmidge."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,"B. Monsoon/Weather Situation:
 Mid season drought (long dry spell,
 consecutive 2 weeks rainless
 (<2.5 mm) period","> In green and blackgram, cowpea, bean and lady's finger the spread of YMV by insect vector may increase. Hence, to control insect vectors spray Dimethoate @1ml/ lt or Imidacloprid 4 ml/10 lt water twice at 10 days interval > In groundnut crop termites and white grub incidence is expected to be more. Methods suggested in rice may be followed to reduce the pest infestation. > Incidence of leaf miner in groundnut may increase which can be managed by spraying Monocrotophos 36 SL or Triazophos 40 EC @ 1 ml/lt. water twice at fortnight intervals. > Under dry condition incidence of mites is expected to be more in vegetable crops which can be brought down by spraying of dicofol @ 2 ml/lt water. > Early and mid season drought favours disease like brown spot of rice, bacterial wilt of brinjal and other vegetables > Soil nutrient & moisture conservation measures > Foliar spraying of DAP @ 2 per cent along with Boric acid @ 0.3 per cent. Also, spray Urea @ 1 per cent > Provide micro- irrigation with drip for wide spaced crops such as chilies and vegetables and Sprinklers for groundnut, maize and vegetables wherever ground/surface water is available. > Go for life saving and protective irrigation from constructed dovas."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_South-chhotanagpur_division,ICAR,"B. Monsoon/Weather Situation:
 Mid season drought (long dry spell,
 consecutive 2 weeks rainless (<2.5 mm) period","The Indian Council of Agricultural Research (ICAR) provides guidelines for managing rice crops during mid-season drought conditions, characterized by a long dry spell or two consecutive weeks with less than 2.5 mm of rainfall. Key crop management practices include manual weeding followed by hoeing to manage germinating weeds, addressing mealy bug and termite attacks which are more prevalent in dry weather, and delaying top dressing with urea until after rainfall. For Brown Plant Hopper (BPH) control, fields should be dusted with Carbaryl (Savin) 4% or Malathion 5% at 10-12 kg/acre."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_South-chhotanagpur_division,ICAR,"B. Monsoon/Weather Situation:
 Mid season drought (long dry spell,
 consecutive 2 weeks rainless (<2.5 mm) period","Additional measures include applying 4 Kg of nitrogen per acre in sorghum and oilseed crops soon after rainfall is received. In pigeonpea, if drought-affected plants revitalize after rainfall, a foliar spray of 2-3% urea should be applied. To manage stress conditions in oilseed crops, a foliar application of sulfur at 1ppm is necessary after rainfall. For oilseeds like groundnut, post-emergence weedicides should be applied to avoid disturbing the pegging process. During severe moisture stress in kharif sorghum and pearlmillet (40-45 days after sowing), thinning may be necessary."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_South-chhotanagpur_division,ICAR,"B. Monsoon/Weather Situation:
 Mid season drought (long dry spell,
 consecutive 2 weeks rainless (<2.5 mm) period","Soil nutrient and moisture conservation measures are also advised, including foliar sprays of 2% KCl or ZnSO4 and a solution of 2% KNO3 or 2% urea. For supplemental nutrition during dry spells, a 1% water-soluble fertilizer solution of combinations like 19-19-19, 20-20-20, or 21-21-21 is recommended. Life-saving irrigation through available water sources like dovas, wells, ponds, check dams, and bora bandh is crucial. It's also recommended to promote rainwater harvesting structures under watershed programs and MNREGA to mitigate drought impacts."
